City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,Sao Bernardo,-3.3614,-42.4178,73.47,97,91,4.7,BR,2022-02-04 07:11:11
166,Nanortalik,60.1432,-45.2371,25.97,93,100,13.27,GL,2022-02-04 07:11:12
167,Bowen,-20.0167,148.2333,79.7,81,100,7.16,AU,2022-02-04 07:11:12
168,Krabi,8.0726,98.9105,95.92,47,50,11.59,TH,2022-02-04 07:11:13
169,Katsuura,35.1333,140.3,46.51,74,100,6.8,JP,2022-02-04 07:11:13
170,New Norfolk,-42.7826,147.0587,68.76,45,8,3.0,AU,2022-02-04 07:11:14
171,Elblag,54.1522,19.4088,40.75,99,100,7.63,PL,2022-02-04 07:11:14
172,Itarema,-2.9248,-39.9167,76.78,86,100,8.1,BR,2022-02-04 07:06:40
173,Vaitape,-16.5167,-151.75,80.47,77,1,15.68,PF,2022-02-04 07:11:15
174,Dublin,37.7021,-121.9358,53.55,66,0,0.0,US,2022-02-04 07:11:15
175,Moose Jaw,50.4001,-105.5344,-15.72,99,97,6.49,CA,2022-02-04 07:07:11
176,Te Anau,-45.4167,167.7167,48.47,96,100,4.92,NZ,2022-02-04 07:07:36
177,Conde,-7.2597,-34.9075,76.46,94,75,6.91,BR,2022-02-04 07:11:16
178,Londiani,-0.165,35.5909,64.81,50,100,10.11,KE,2022-02-04 07:11:17
179,Vila,42.0304,-8.1588,41.88,87,100,1.21,PT,2022-02-04 07:11:17
180,Saint-Augustin,51.226,-58.6502,-0.29,73,100,13.51,CA,2022-02-04 07:11:18
181,Camopi,3.1655,-52.3158,71.1,100,100,1.28,GF,2022-02-04 07:11:18
182,Porto Novo,6.4965,2.6036,76.95,82,2,3.4,BJ,2022-02-04 07:11:19
183,La Palma,33.8464,-118.0467,60.31,73,0,4.61,US,2022-02-04 07:11:19
184,Airai,-8.9266,125.4092,68.67,80,100,4.32,TL,2022-02-04 07:12:20
185,Kuito,-12.3833,16.9333,62.38,88,100,2.33,AO,2022-02-04 07:12:20
186,Nyurba,63.2842,118.3319,-13.58,95,26,3.38,RU,2022-02-04 07:12:21
187,Dingle,10.9995,122.6711,76.08,85,100,14.72,PH,2022-02-04 07:12:21
188,Umea,63.8284,20.2597,19.9,100,100,19.57,SE,2022-02-04 07:12:22
189,Quatre Cocos,-20.2078,57.7625,83.08,84,97,19.15,MU,2022-02-04 07:12:22
190,Sinnamary,5.3833,-52.95,75.96,90,91,11.45,GF,2022-02-04 07:12:23
191,Avarua,-21.2078,-159.775,78.85,83,20,12.66,CK,2022-02-04 07:12:23
192,Dzhebariki-Khaya,62.2167,135.8,-29.52,99,57,1.68,RU,2022-02-04 07:12:24
193,Tolmezzo,46.4075,13.0175,38.43,88,96,1.34,IT,2022-02-04 07:12:24
194,Qaanaaq,77.484,-69.3632,-12.01,50,91,8.72,GL,2022-02-04 07:12:25
195,Kurchum,48.5722,83.6542,0.52,89,13,2.19,KZ,2022-02-04 07:12:25
196,Jutai,-5.1833,-68.9,71.74,99,100,0.94,BR,2022-02-04 07:12:26
197,Tuy Hoa,13.0833,109.3,74.97,84,76,15.75,VN,2022-02-04 07:10:54
198,Udayagiri,20.1333,84.3833,77.63,48,41,10.33,IN,2022-02-04 07:12:26
199,Egvekinot,66.3167,-179.1667,-7.04,73,0,16.22,RU,2022-02-04 07:12:27
200,Omboue,-1.5746,9.2618,77.25,81,100,4.09,GA,2022-02-04 07:12:27
201,Kirakira,-10.4544,161.9205,78.89,87,100,7.83,SB,2022-02-04 07:12:28
202,Ambilobe,-13.2,49.05,81.97,79,100,13.38,MG,2022-02-04 07:12:28
203,Santa Clarita,34.3917,-118.5426,55.56,24,35,3.0,US,2022-02-04 07:07:36
204,Kasangulu,-4.5911,15.1708,71.74,90,82,2.73,CD,2022-02-04 07:12:29
205,Gravdal,68.1214,13.5031,29.88,86,100,17.27,NO,2022-02-04 07:12:30
206,Tazovskiy,67.4667,78.7,-1.07,98,97,5.46,RU,2022-02-04 07:10:36
207,Salalah,17.0151,54.0924,82.99,28,0,4.83,OM,2022-02-04 07:12:30
